UID,mean.annual.flow,dam.count,dam.density,basin.area,max.basin.elevation,mean.basin.elevation,min.basin.elevation,range.basin.elevation,pct.canopy.cover,pct.ISC,tmax.annual,tmax.july,tmin.annual,tmin.july,pct.ag,pct.urb,pct.for,pct.wet,pct.shrub
10858,3.33476,0,0,1.982,2538.39,2403.22,2229.78,308.607,23.675,0,12.1,25.2,-1.03,8.93,0,0,63.62,0,36.381
10871,,,,,,,,,,,,,,,,,,,
10872,13.06813,0,0,82.599,3471.41,2554.91,1789.31,1682.1,26.568,0.101,17.82,31.8,-0.35,10.17,0,0.156,51.293,0.569,47.781
10875,1.96056,0,0,22.836,2934.34,2329.94,1902.74,1031.6,9.376,0.006,12.88,26.98,-1.02,8.77,0,0,2.782,0,97.219
10876,7.11128,0,0,37.408,3048.54,2482.94,1980.56,1067.98,24.727,0.111,12.9,26.87,-1.35,8.72,0,0.029,36.67,0.178,63.123
10885,0.15696,0,0,1.743,2647.51,2458.45,2219.63,427.884,22.488,0,15.64,29,0.04,11.47,0,0,61.622,0,38.378
10886,2.4866,0,0,16.7,2539.31,2114.59,1862.9,676.406,5.176,0.489,13.39,27.41,-1.03,8.32,0,0,5.692,0,94.308
10887,1.70765,0,0,14.47,2235.51,1976.28,1754.81,480.704,1.28,0,14.69,29.11,-0.83,9.02,0,0,0.006,0.211,99.783
10888,2.26829,0,0,9.8,2089.25,1890.38,1771.49,317.758,0,0.026,13.82,27.11,-0.95,8.06,0,0,0,0.147,99.853
10889,2.32829,0,0,20.891,3459.37,2424.76,1684.21,1775.16,12.944,0.314,15.6,29.95,-1.76,7.88,4.859,5.1,22.185,3.645,57.466
10890,2.43864,0,0,3.568,2294.83,2066.83,1912.97,381.857,8.524,0.068,13.85,28.13,0.7,11.07,0,0,17.588,0,82.412
10893,2437.59542,0,0,15741.06,3459.37,1875.51,1404.57,2054.81,3.239,0.233,18.47,33.72,0.73,10.97,2.18,0.978,5.51,1.7,89.355
10895,,,,,,,,,,,,,,,,,,,
10896,13.14919,0,0,2500.638,2661.25,1675.83,1293.14,1368.11,0.317,0.102,17.79,32.28,1.29,11.29,0.485,0.484,0.465,1.512,96.762
10897,34.71553,0,0,2648.445,2661.11,1697.73,1337.28,1323.84,0.632,0.096,18,32.43,0.97,11.09,0.726,0.061,0.465,0.411,98.145
10898,3.00844,0,0,50.323,2663.36,2049.85,1537.38,1125.99,0.034,0.011,15.79,30.18,1.9,11.96,0,0,0.027,0.023,99.903
10899,10.66366,0,0,82.773,3582.03,2703.59,1900.05,1681.98,23.668,0.046,16.31,29.67,-0.9,10.42,0,0,61.844,0.099,29.37
10900,0.25301,5,0.069,7496.426,3459.37,1910.54,1534.29,1925.08,2.617,0.301,16.94,32.09,-1.45,8.53,2.946,1.165,3.883,1.853,90.034
10901,306.73007,11,0.049,15404.289,3483.9,1513.57,443.662,3040.24,9.168,0.198,27.95,41.1,10.48,22.21,0.689,0.511,19.945,0.274,77.997
10918,4.35493,0,0,470.308,2687.01,1902.9,1586.51,1100.5,5.076,0.222,18.55,32.72,0.66,11.75,0.927,0.35,11.23,0.036,87.397
10922,2930.93378,0,0,30340.387,3459.37,1762.72,1285.99,2173.38,2.501,0.236,18.77,33.52,1.4,12.08,2.507,0.899,3.926,2.06,90.025
10926,118.61256,0,0,2945.321,2637.75,1713.68,1382.84,1254.91,1.423,0.093,18.76,33.85,1.35,11.81,1.109,0.179,1.099,2.287,93.996
10927,60.61357,0,0,776.194,3020.04,2065.1,1598.68,1421.36,2.784,0.112,15.39,29.47,-1.43,7.57,0.029,0.473,4.343,0.832,94.307
10928,3.62817,0,0,579.008,2586.55,1793.5,1347.82,1238.73,0.325,0.049,17.26,31.67,0.6,10.57,0.039,0,0.501,0.811,98.534
10951,0.28667,0,0,1.404,3250.31,2913.73,2614.72,635.591,57.785,0,11.19,23.73,-1.46,8.75,0,0,85.833,0,14.167
10954,1.22399,5,0.046,1851.924,3473.9,2095.9,1414.6,2059.3,19.53,1.072,18.96,31.38,0.59,9.68,4.475,3.065,26.009,2.201,62.24
10956,2970.35327,1,0.006,32403.46,3459.37,1744.44,1240.33,2219.04,2.401,0.241,19.7,34.22,1.43,11.98,2.361,0.882,3.812,1.994,90.183
10958,386.36519,1,0.012,2821.604,3003.43,1680.6,1324.08,1679.35,11.327,0.188,16.9,30.37,-0.07,8.72,6.372,0.974,27.201,1.272,60.835
10962,2458.36596,1,0.011,15841.229,3459.37,1873.35,1381.83,2077.54,3.233,0.234,18.85,33.99,1.44,11.94,2.175,0.986,5.476,1.781,89.306
10963,1.41479,0,0,7.226,2490.59,2200.02,2038.76,451.824,20.861,0.097,12.14,25.9,-0.9,8.7,0,0,14.958,0,85.042
10964,0.13559,0,0,7.537,2757.46,2266.15,1780.25,977.214,7.422,0.067,13.79,27.85,2.88,12.78,0,0,17.913,1.302,80.786
10965,655.26564,1,0.035,2144.811,3473.9,2032.78,1342.93,2130.97,17.624,2.12,19.23,32,1.49,10.42,3.983,5.11,23.419,1.978,63.733
10969,1258.95557,0,0,4471.258,2821.99,1639.59,669.943,2152.05,49.332,0.344,20.06,31.98,5.01,12.17,0.66,1.148,73.677,0.859,20.332
10971,218.83589,0,0,2311.749,3172.36,1947.4,1624.54,1547.83,1.42,0.224,16.16,31,-2.09,7.71,0.08,0.387,0.542,1.543,97.407
10973,2656.84885,0,0,19564.777,3459.37,1836.7,1357.42,2101.96,2.927,0.214,18.92,33.97,1.18,11.51,2.059,0.868,4.626,2.194,89.774
10978,134.22375,0,0,1419.148,3172.36,1969,1710.5,1461.86,2.245,0.259,15.06,29.5,-2.48,7.35,0.102,0.573,0.878,2.244,96.138
10979,4.16478,0,0,90.38,2661.11,2075.54,1816.73,844.378,0.236,0.032,13.69,27.55,0.49,10.42,0,0,0.577,0.062,99.307
10989,2820.06796,0,0,23978.413,3459.37,1801.98,1330.95,2128.42,2.946,0.218,18.61,33.42,1.63,12.18,2.164,0.856,4.809,2.169,89.469
10990,9.69674,0,0,1865.56,3083.69,1889.7,1561.82,1521.86,6.691,0.114,17.23,31.98,-1.22,8.47,0.674,0.207,14.295,0.498,84.3
10991,2.31654,0,0,22.221,3384.27,2936.21,2556.58,827.694,25.905,0.046,11.25,23.91,-2.34,8.36,0,0,42.624,0.223,57.007
10992,2943.50334,0,0,30847.637,3459.37,1758.03,1262.06,2197.31,2.485,0.238,19.17,33.51,1.89,12.89,2.475,0.895,3.915,2.062,90.077
10993,,,,,,,,,,,,,,,,,,,
10994,12502.55955,0,0,29282.053,3872.87,1385.35,111.426,3761.44,29.642,0.355,22.08,33.82,6.7,12.09,7.341,1.896,50.7,2.037,34.836
10995,,,,,,,,,,,,,,,,,,,
10996,7931.2571,0,0,15780.901,2821.99,1221.1,3.766,2818.23,48.517,0.684,23.92,34.82,9.58,15.58,6.764,3.051,62.418,0.91,24.201
10997,10318.27454,0,0,27045.166,3872.87,1398.15,196.008,3676.86,26.928,0.38,21.42,33.5,5.74,11.44,7.949,1.897,48.055,2.204,36.494
10998,20210.89324,0,0,38656.88,3872.87,1306.88,7.916,3864.95,35.791,0.3,18.54,26.13,6.5,10.91,5.57,2.068,56.997,1.55,31.057
10999,1786.75046,0,0,4915.082,3970.13,1467.52,9.827,3960.3,30.807,1.146,23.8,34.14,9.17,15.37,6.375,3.486,37.12,0.556,40.98
11000,3600.62832,0,0,5787.757,2311.24,904.746,43.378,2267.86,38.331,0.1,19.94,29.37,6.71,10.97,0.26,2.995,53.661,0.063,42.439
11001,3942.73367,0,0,4977.109,3157.34,1294.41,8.361,3148.98,56.737,1.439,23.65,34.21,9.62,15.38,0.045,4.737,66.05,0.361,25.925
11002,6580.13135,0,0,22427.702,3872.87,1442.26,503.116,3369.75,23.193,0.42,19.28,31.46,3.9,11.08,8.859,1.633,44.979,2.649,37.913
11003,11.14463,0,0,6.208,302.641,118.559,18.147,284.493,57.208,0.268,16.79,22.14,6.36,10.74,0,4.768,58.783,0.681,35.768
11004,2.35898,0,0,79.316,1466.35,991.9,720.173,746.175,0.26,0.055,16.04,28.57,2.61,10.53,2.243,0.765,0.454,0.881,95.658
11005,2.47784,0,0,19.27,1643.22,1334.94,638.872,1004.34,18.939,0.039,18.95,32.48,2.74,10.8,0.504,0.388,29.525,0,69.582
11013,8.37464,0,0,23.822,1461.67,1255.95,1015.25,446.421,18.481,0.033,14.83,28.85,1.48,10.67,0,0,25.939,0.888,73.173
11014,454.9464,0,0,325.168,585.847,292.419,146.792,439.054,64.05,0.354,17.44,27,5.41,10.58,4.754,5.652,59.382,1.623,28.304
11016,5.65867,0,0,4.316,1706.44,1616.36,1471.95,234.49,59.537,0.594,11.72,25.76,1.44,10.6,0,3.545,80.73,0,15.725
11017,18.17669,0,0,6.377,943.821,694.45,441.821,502,70.859,0.037,14.53,24.01,4.64,9.82,0,0.635,79.665,0,19.701
11018,22.28089,0,0,2.837,2029.78,1674.6,1516.31,513.466,68.886,0.008,12.48,24.33,-0.14,6.45,0,0,88.071,0,11.58
11020,4126.6289,0,0,5637.641,2890.01,1045.54,300.873,2589.14,49.959,1.286,19.94,32.02,4.87,11.34,6.905,4.025,61.408,0.391,26.068
11021,3639.98308,0,0,1643.865,1767.33,756.185,120.826,1646.5,66.783,0.291,17.12,26.66,5.49,10.96,2.433,1.249,72.141,0.015,22.785
11022,,,,,,,,,,,,,,,,,,,
11025,694.63203,0,0,838.578,1245.39,323.279,13.377,1232.01,79.006,0.43,16.94,23.61,6.14,10.55,1.778,5.771,79.418,0.786,12.159
11026,3513.40785,1,0.015,3225.215,2771.86,1072.73,171.884,2599.98,71.772,0.084,18.34,28.41,5.39,10.95,0.785,0.536,83.888,0.019,13.978
11027,6216.27475,0,0,5193.011,2652.73,869.404,117.738,2534.99,69.461,0.59,17.43,27.5,5.39,10.76,3.536,2.039,75.803,0.525,15.811
11031,1124.87765,0,0,702.524,1086.96,344.519,6.351,1080.61,59.809,0.519,15.28,20.36,6.24,10.54,1.284,5.966,57.016,1.158,34.248
11035,5.01556,0,0,4.407,1499.83,926.922,448.393,1051.43,83.826,0,16.91,27,4.12,9.81,0,0,89.123,0,10.877
11036,2589.511,0,0,1356.907,3185,1068.95,227.695,2957.31,68.643,0.143,16.26,25.75,5.11,10.71,0.485,1.068,79.671,0.021,15.8
11037,0,0,0,,,,,,0,0,17.23,26.71,6.23,11.66,,,,,
11039,7.50428,0,0,8.15,1313.17,966.901,589.11,724.063,77.692,0.049,17.76,29.24,3.83,10.32,0,0,84.892,0,15.108
11040,39.13876,0,0,212.931,2624.11,1886.47,1387.38,1236.73,59.775,0.262,11.75,25.06,-1.89,6.05,0,1.145,78.384,0,20.127
11041,11895.95821,0,0,8511.228,3144.66,870.114,85.031,3059.63,68.156,0.788,17.4,27.14,5.67,11.14,3.88,2.403,75.139,0.598,15.487
11042,4.02236,0,0,7.977,2587.88,2204.53,1853.57,734.315,57.641,0.216,9.18,22.02,-0.82,8.48,0,0,83.405,0,15.286
11044,12963.5313,0,0,13299.801,2890.01,889.703,5.273,2884.74,54.074,0.905,18.67,26.03,7.38,10.98,3.832,4.193,64.794,0.654,25.823
11045,4010.28858,0,0,2313.335,3144.66,1080.34,230.992,2913.67,71.785,0.05,16.62,26.21,4.51,9.95,0.052,0.614,84.136,0.031,11.757
11046,,,,,,,,,,,,,,,,,,,
11047,8955.11915,0,0,9401.14,2771.86,749.465,42.621,2729.24,63.802,0.494,17.9,27.5,5.68,10.66,5.792,2.379,71.163,0.546,19.469
11051,3.0825,0,0,13.352,1533.37,1442.95,1306.93,226.441,48.19,0.116,12.34,24.55,-0.65,7.06,0,0,70.051,1.867,28.083
11053,3423.18029,1,0.022,1782.64,3185,970.492,123,3062,67.65,0.235,16.99,26.44,5.54,11.04,2.302,1.389,77.501,0.222,16.147
11079,5.97934,0,0,60.679,2191.87,1985.68,1842.11,349.761,11.413,1.098,17.85,31.22,0.63,12.15,39.022,4.936,19.435,3.433,33.095
11080,,,,,,,,,,,,,,,,,,,
11081,18.95911,0,0,115.475,2757.31,2389.3,1987.2,770.113,44.103,0.11,14.96,29.42,-0.13,11.95,0.497,0,81.058,0.15,17.603
11082,,,,,,,,,,,,,,,,,,,
11083,33.68926,0,0,112.028,2915.73,2525.51,1854.03,1061.7,51.611,0.196,15.92,30.04,0.16,11.55,0.563,1.109,83.649,0.702,13.948
11084,31.60732,0,0,185.877,2832.37,2225.08,1838.09,994.277,41.877,0.204,17.32,29.65,0.57,12.37,0.501,4.23,59.065,1.274,34.829
11085,11.29514,0,0,54.438,2829.64,2365.51,1959.18,870.458,55.501,0.102,16.78,29.05,-0.23,11.46,0,2.5,75.797,0.851,20.762
11086,640.14568,0,0,8403.959,4254.58,1865.34,1256.37,2998.21,14.545,0.166,21.12,34.59,3.18,16.54,1.127,0.582,22.361,0.923,74.601
11087,21.31274,4,0.062,92.827,2149.58,1728.07,1602.96,546.616,1.512,11.747,18.25,31.33,2.36,14.27,4.948,33.932,0.397,3.53,50.059
11088,45.02426,0,0,268.304,3292.86,2678.45,2193.64,1099.21,59.727,0.064,11.64,25.85,-3.14,7.49,0.828,0,84.391,1.483,13.171
11089,43.21511,1,0.014,270.804,2855.19,2182.36,1857,998.188,22.125,1.985,17.36,29.79,0.73,12.49,0.11,9.119,31.75,1.95,56.976
11090,4.45307,0,0,298.414,1319.51,1172.06,1067.8,251.709,0,0.096,20.61,34.16,3.31,16.89,28.093,1.072,0,0.037,70.768
11091,105.81578,0,0,912.727,2759.21,2166.25,1669.99,1089.22,36.642,0.202,16.48,32.07,0.3,13.14,0.467,0.31,70.303,0.336,27.453
11093,,,,,,,,,,,,,,,,,,,
11094,4145.06919,1,0.013,19689.041,4359.83,2688.03,1430.66,2929.17,33.588,0.371,19.28,33.78,2.81,14.91,5.291,1.124,54.538,1.388,33.67
11095,8.80306,0,0,17.517,3979.88,3519.15,3119.1,860.777,30.188,0,8.04,19.9,-7.07,3.17,0,0,36.849,2.692,34.044
11096,304.23791,6,0.147,625.43,4342.73,2612.78,1507.6,2835.13,42.606,0.768,18.19,31.57,1.32,13.54,3.741,2.524,59.494,2.057,19.038
11097,56.67954,0,0,222.221,4180.67,3348.96,2837.27,1343.39,36.644,0.099,10.8,23.08,-6.17,4.43,0.051,0,47.855,6.238,39.895
11098,113.19149,0,0,835.805,3711.44,2868.15,2387.74,1323.7,25.169,0.172,14.65,26.8,-3.67,8.03,1.383,0.485,35.605,3.181,59.164
11099,66.20905,0,0,4592.686,1677.47,1388.84,1085.52,591.954,0.152,0.17,18.59,32.42,2.52,15.93,53.537,3.469,0.061,0.483,42.339
11100,5.09022,0,0,28.689,3974.99,3472.15,2970.05,1004.94,35.653,0.147,8.79,20.55,-6.05,4.41,0,0,47.599,2.874,29.454
11106,2.61755,0,0,4.764,267.958,181.909,139.662,128.297,51.202,0.897,19.47,31.67,7.77,19.8,24.082,9.428,65.695,0,0
11107,270.51896,0,0,1183.478,304.49,230.9,185.723,118.767,4.76,1.117,15.39,29.57,4.16,17.65,87.047,6.09,6.102,0.408,0.023
11108,,,,,,,,,,,,,,,,,,,
11109,560.86195,0,0,2269.63,291.283,223.145,161.479,129.803,7.45,1.38,16.25,30.19,4.77,17.96,81.304,6.783,11.002,0.151,0.147
11114,4781.9085,0,0,21381.541,517.316,273.851,197.44,319.876,6.992,3.086,14.86,28.98,3.45,16.91,73.102,10.827,8.501,4.763,1.084
11117,3740.8023,3,0.041,11903.238,286.697,214.186,175.173,111.524,7.397,2.011,15.74,29.62,4.17,17.3,79.749,8.239,7.227,2.175,1.985
11118,245.23759,1,0.099,727.178,180.73,137.771,106.576,74.153,14.481,1.416,19.12,31.69,6.96,19.43,66.206,7.886,19.339,2.963,2.312
11119,798.13615,3,0.032,3458.02,359.235,261.123,222.185,137.05,15.44,6.944,14.17,28.38,2.98,16.25,45.542,24.563,15.111,7.21,2.23
11120,445.84032,0,0,1317.246,212.745,144.687,107.946,104.799,16.736,1.2,19.22,31.87,7.02,19.52,63.017,6.662,22.747,1.237,3.84
11121,3532.41877,0,0,13759.327,291.106,198.41,132.096,159.01,4.818,2.748,17.25,30.84,5.12,18.09,82.767,9.98,5.47,0.768,0.177
11123,5383.56976,1,0.033,23777.174,517.316,268.189,170.008,347.308,6.758,2.998,15.32,29.55,4.59,18.3,74.127,10.608,8.224,4.372,0.982
11124,1092.09312,0,0,4487.41,283.364,207.635,151.937,131.427,2.894,2.615,17.18,30.59,5.46,18.26,85.899,9.382,3.338,0.386,0.203
11125,457.44409,0,0,1803.778,380.405,285.158,223.961,156.444,8.625,1.73,14.33,28.84,2.73,16.3,75.349,7.288,11.769,3.27,2.091
11134,67.48932,0,0,120.119,976.218,509.48,216.912,759.305,73.529,0.387,12.4,26.39,-0.44,12.41,3.098,2.427,89.914,0.625,3.785
11135,67.69303,0,0,90.864,1011.09,481.273,328.052,683.042,59.518,0.663,10.56,24.99,-1.23,12.17,10.556,4.152,70.441,3.555,3.06
11136,8.3645,0,0,11.767,1112.66,657.834,352.545,760.118,89.462,0.173,11.25,25.17,-0.47,12.38,1.308,1.507,97.055,0.084,0.046
11137,0.72115,1,0.014,160.76,1150.62,582.143,252.928,897.69,86.903,0.209,12.43,26.34,-0.6,12.2,1.802,2.503,93.304,0.556,1.725
11138,3.68085,0,0,4.742,564.987,415.738,240.453,324.534,85.58,0.137,12.71,26.31,0.06,12.54,2.162,2.579,94.178,0,0.322
11139,3.88199,0,0,39.345,668.696,603.006,524.059,144.637,20.674,0.321,25.44,33.83,11.33,20.44,0.796,5.328,30.473,0,63.284
11140,11.85839,1,0.033,116.425,433.38,354.865,250.491,182.889,27.584,0.349,25.29,35.72,11.2,21.75,2.397,7.868,35.361,1.124,52.483
11144,5.64749,0,0,51.321,452.703,393.376,291.282,161.421,33.893,0.111,25.52,34.73,12.24,21.77,0,0.838,47.637,0.06,51.355
11145,23.92847,0,0,64.052,191.41,107.875,78.31,113.1,60.134,0.628,24.18,34.1,11.29,21.87,8.93,4.464,66.841,6.967,12.434
11146,54.15345,0,0,305.743,366.73,280.665,179.734,186.996,13.682,0.095,25.23,35.21,12.57,22.53,11.513,3.452,14.94,3.385,66.619
11151,11.15389,0,0,159.899,335.791,281.508,211.841,123.95,19.879,0.436,25.67,35.05,12.65,22.13,2.24,5.993,28.515,0.873,61.366
11153,0,0,0,,,,,,0,0,24.59,34.33,11.55,22.07,,,,,
11175,114.34984,6,0.073,281.309,282.042,235.758,201.411,80.631,4.223,6.756,17.04,29.77,5.39,17.84,72.083,21.867,5.255,0.011,0.457
11176,7.27438,0,0,17.884,368.469,357.59,347.394,21.075,5.508,0.382,15.52,28.53,4.39,16.73,86.234,7.242,5.663,0.025,0.704
11177,1.47696,0,0,3.541,290.941,277.613,267.57,23.371,2.177,0.264,15.11,28.57,4.38,16.81,93.569,4.372,2.059,0,0
11180,1.73957,0,0,3.74,259.17,254.425,251.311,7.859,4.154,0.477,15.61,29.11,4.55,17.02,88.688,3.538,4.164,0.168,3.442
11181,,,,,,,,,,,,,,,,,,,
11182,,,,,,,,,,,,,,,,,,,
11183,,,,,,,,,,,,,,,,,,,
11184,2152.23468,0,0,6551.524,389.943,283.561,214.961,174.982,17.712,2.161,15.23,28.79,4.28,16.64,61.721,9.535,10.414,14.786,0.823
11185,,,,,,,,,,,,,,,,,,,
11186,314.64095,0,0,838.866,277.541,225.304,156.982,120.558,4.801,1.189,16.34,29.54,4.94,17.56,87.636,5.422,6.589,0.075,0.146
11187,1215.98409,0,0,3286.455,302.98,242.966,199.087,103.893,11.943,1.143,15.67,29.04,4.39,16.96,76.551,7.762,10.181,2.881,0.997
11188,5.12158,0,0,6.382,260.567,215.792,172.094,88.473,42.143,0.881,18.61,30.61,6.49,18.38,25.737,9.901,62.092,0,2.172
11189,836.39971,0,0,2260.542,302.98,251.934,211.784,91.195,13.491,1.301,15.4,28.83,4.25,16.84,73.989,8.567,10.673,3.755,0.802
11191,1481.95566,0,0,4580.368,286.697,225.887,191.801,94.896,12.392,2.041,15.52,29.16,4.08,16.94,71.568,8.938,11.46,4.028,3.21
11192,28.39876,0,0,80.046,298.544,275.157,257.408,41.136,6.207,0.383,15.76,29.2,4.72,17.2,87.785,4.545,6.642,0.37,0.577
11193,149.58019,0,0,318.574,220.8,157.062,128.504,92.296,6.728,0.843,18.25,31.04,6.67,19.04,81.824,6.486,10.557,0.109,0.123
11194,3507.81746,0,0,10812.516,389.943,272.153,172.745,217.198,17.155,3.475,14.89,28.12,4.19,16.16,59.741,13.905,10.379,12.326,1.032
11195,576.16066,1,0.039,1792.29,327.751,272.868,220.366,107.385,12.399,3,15.25,28.79,4.29,16.66,67.534,12.879,7.969,7.673,1.346
11196,0.81625,0,0,1.6,307.09,289.074,265.35,41.74,36.943,0.426,16.76,29.47,4.69,16.89,48.257,8.549,42.07,0,0.844
11197,6.47657,0,0,10.958,276.595,259.19,249.855,26.74,6.012,3.469,15,28.58,4.26,16.76,77.275,13.822,5.059,3.54,0.304
11198,,,,,,,,,,,,,,,,,,,
11199,0.35098,0,0,2131.378,302.98,253.721,213.554,89.426,12.98,1.341,15.33,28.77,4.21,16.82,74.512,8.757,9.965,3.736,0.69
11200,449.62308,0,0,1368.347,389.943,313.954,265.654,124.289,18.603,2.18,14.66,28.39,3.3,15.57,60.747,9.646,11.645,14.942,0.67
11201,3095.4906,1,0.018,12405.812,382.852,260.183,182.717,200.135,22.228,2.883,13.94,28.49,1.94,14,55.899,12.13,16.552,12.714,0.963
11203,569.63551,0,0,1977.052,321.369,234.298,186.522,134.847,23.906,1.191,14.28,28.55,2.93,15.2,57.251,6.696,19.336,14.108,2.334
11205,3408.61248,0,0,13607.431,382.852,256.147,176.428,206.424,21.635,4.105,13.91,27.5,3.66,15.48,54.138,15.061,16.001,12.068,0.955
11206,796.5565,0,0,3017.294,387.266,254.997,177.809,209.457,24.4,5.74,14.29,28.65,2.98,15.06,41.182,21.606,23.331,10.298,1.812
11207,798.32023,0,0,3611.756,382.852,282.581,219.025,163.828,21.49,4.835,14.22,28.38,2.74,14.93,51.003,16.714,14.466,15.751,0.509
11208,397.63442,1,0.016,1798.993,382.852,293.291,258.104,124.749,26.437,3.137,14.06,27.98,2.92,15.1,46.075,12.733,17.802,20.845,0.635
11210,525.46112,0,0,1762.141,321.108,238.06,175.449,145.659,14.208,1.178,13.23,27.02,4.03,16.31,70.786,6.28,13.369,7.893,1.375
11211,0.57148,0,0,6117.351,384.72,226.727,173.349,211.371,16.725,11.311,14.21,28.13,5.2,17.69,38.382,28.771,14.938,8.386,1.473
11213,797.99267,0,0,2989.073,519.362,366.373,313.478,205.884,44.35,1.257,12.7,27.21,0.49,12.87,12.418,7.567,38.311,24.547,11.255
11214,1691.08135,0,0,6340.566,519.362,337.453,173.122,346.24,43.687,1.363,13.79,27.87,2.24,14.3,19.668,7.637,40.421,18.665,9.588
11215,462.62222,1,0.018,1917.362,341.788,230.54,194.854,146.934,15.09,1.371,14.13,28.52,2.42,14.59,71.038,6.936,9.94,10.113,0.604
11217,1634.05423,0,0,6127.243,519.362,341.053,182.988,336.374,43.815,1.35,13.91,28.26,1.66,13.64,19.451,7.611,40.376,18.94,9.599
11218,614.77303,0,0,1291.472,577.591,401.28,189.787,387.804,72.683,0.259,11.22,26.2,-1,11.71,2.836,2.375,68.426,20.985,3.543
11219,870.44758,0,0,1977.64,360.964,241.785,178.687,182.277,66.728,0.317,10.19,24.04,-0.95,10.45,0.629,2.256,35.176,57.589,3.348
11220,1124.15779,2,0.041,3226.962,439.125,260.75,182.116,257.009,52.662,0.765,11.52,25.72,1.33,13.75,10.043,5.701,44.211,28.605,8.162
11221,1207.67949,1,0.015,4521.484,519.362,358.837,263.931,255.431,44.096,1.344,13.37,27.83,1.22,13.51,16.557,7.59,39.303,21.695,10.481
11222,1763.01096,1,0.014,7605.886,382.852,259.273,188.923,193.93,18.73,3.243,14.07,28.64,2.15,14.38,59.861,12.406,12.538,13.27,0.524
11228,4.1367,0,0,17.948,375.762,331.879,262.216,113.547,17.76,0.824,13.58,28.27,2.09,16.11,61.621,5.272,17.114,0,15.957
11229,,,,,,,,,,,,,,,,,,,
11230,9.52377,0,0,87.137,394.161,365.833,331.471,62.69,0.501,0.766,16.55,30.51,4.17,18.09,91.024,6.599,0.132,0.056,2.174
11231,,,,,,,,,,,,,,,,,,,
11232,3.76359,0,0,63.562,446.483,417.253,387.286,59.197,0.106,0.56,13.77,28.84,1.81,16.33,92.46,6.136,0.034,0.082,1.195
11233,6.91144,0,0,33.093,366.043,341.953,315.262,50.78,0.81,1.058,13.58,28.18,2.22,16.28,91.271,5.996,0.258,0.364,2.072
11234,6.02293,0,0,31.576,329.193,317.985,300.792,28.401,2.318,0.922,13.71,28.54,2.31,16.44,89.072,7.325,1.848,0.122,1.632
11235,16.69053,0,0,177.624,394.161,352.062,300.163,93.997,1.569,0.683,16.89,30.83,4.43,18.35,86.992,6.081,0.711,0.229,5.951
11236,21.73425,0,0,92.379,392.532,360.153,304.821,87.711,6.695,1.042,13.25,27.92,2.02,16.13,80.566,5.727,6.478,0.028,7.148
11237,11.15601,0,0,54.976,335.642,320.636,292.605,43.037,0.438,0.38,14.25,28.98,2.74,16.95,93.212,5.26,0.146,0,1.365
11238,29.29155,0,0,660.993,423.057,375.661,310.504,112.553,4.546,0.852,16.5,30.56,4.16,18.09,86.738,5.086,5.178,0.856,1.126
11239,8.74117,0,0,34.904,376.342,337.769,257.803,118.539,16.693,0.77,13.75,28.34,2.42,16.13,65.793,5.986,16.142,0,11.982
