UID,mean.annual.flow,dam.count,dam.density,basin.area,max.basin.elevation,mean.basin.elevation,min.basin.elevation,range.basin.elevation,pct.canopy.cover,pct.ISC,tmax.annual,tmax.july,tmin.annual,tmin.july,pct.ag,pct.urb,pct.for,pct.wet,pct.shrub
10000,,,,,,,,,,,,,,,,,,,
10001,,,,,,,,,,,,,,,,,,,
10002,1.26314,3,0.225,19.977,351.62,329.86,310.082,41.538,7.452,0.731,19.29,32.48,6.89,20.03,74.404,5.156,9.362,0.072,10.276
10003,11.2298,0,0,141.514,576.862,543.304,496.662,80.199,1.282,0.221,20.8,34.57,6.79,19.91,53.398,3.405,0.85,0.467,41.407
10004,19.34894,4,0.11,101.594,502.801,428.278,349.91,152.891,2.157,0.33,19.88,33.1,6.82,20.02,6.461,2.496,2.47,0.037,87.417
10006,6923.83623,0,0,71565.022,4411.51,1725.93,642.927,3768.58,8.927,0.545,20.28,34.06,5.61,19.16,12.811,2.816,13.471,1.124,68.517
10007,1.4205,1,0.112,8.702,376.365,346.144,302.555,73.81,17.892,0.814,18.68,32.07,6.36,19.82,41.859,4.535,19.649,0.279,32.355
10060,13553.7106,2,0.029,28212.371,816.023,119.437,15.703,800.32,61.269,1.16,24.22,33.91,11.24,21.76,7.231,5.362,64.231,12.805,8.653
10109,61.8426,3,0.031,129.604,23.488,14.094,4.152,19.336,35.759,0.418,19.18,30.7,7.58,19.12,43.749,3.969,21.172,23.934,6.836
10828,6800.35075,0,0,65408.338,4411.51,1805.41,972.493,3439.02,9.751,0.549,20.68,34.17,3.64,17.27,7.665,2.673,14.724,1.177,72.437
10829,,,,,,,,,,,,,,,,,,,
10842,8.09999,0,0,15.01,107.155,50.44,19.164,87.991,22.433,24.899,17.9,30.14,7.09,19.12,2.489,68.382,23.81,2.243,2.729
10854,0.53241,0,0,5.284,2669.31,2344.85,1987.66,681.642,12.28,0,13.68,27.8,2.59,13.96,0,0,28.817,0,71.183
10856,197.58725,0,0,2341.869,3100.57,1986.53,1567.1,1533.47,2.647,0.153,16.11,30.46,-1.02,8.82,1.105,0.236,3.931,0.545,94.164
10857,,,,,,,,,,,,,,,,,,,
