UID,Al,ANC,Ca,Cl,cond,DOC,K,Mg,sodium,NH4,NO2,NO3,total.N,pH.lab,total.P,SIO2,SO4,TSS,turb
12028,3.00E-04,5213.18,118.8,18.35,1240.74,8.47,9.945,64.54,63.9,1.80E-02,0,0,821,8.41,82.1438,20.529,388.83,13.3,13.26
12029,3.00E-04,5628.54,74.14,35.74,1158.11,10.76,27.08,48.26,103.7,0.019,0,0,1659,8.57,273.3663,12.942,290.55,41,32.82
12030,3.00E-04,9277.18,74.17,19.69,1788,12.83,11.1,72.42,247.5,0.02,0,0.24413,1326,8.46,261.5813,5.407,509.69,43.4,28.6
12031,9.00E-04,3134.92,47.73,10.22,667.16,2.65,4.048,19.2,60.87,7.00E-03,0,0.04831,258,8.42,5.3388,4.731,152.28,3.4,4.08
12032,0.0012,4900.97,33.43,12.05,1765.49,11.01,12.39,48.92,304,1.70E-02,0,0,1016,8.71,139.7269,1.768,638.4,19.7,21.55
12033,0.001,2619.54,35.71,9.76,438.16,6.55,7.159,19.46,16.42,0.039,0.00544,0.37316,1387,8,796.644,16.997,83.05,466.5,364.97
12034,0.0092,12873.39,42.99,7.76,1873,17.81,9.336,30.35,379,3.50E-02,0,0.36132,1455,8.72,269.0138,4.362,380.73,8.6,28.6
12035,3.00E-04,5833.33,63.88,11.12,1823.69,6.42,14.64,33.21,301.1,8.00E-03,0,0,554,8.52,78.5931,14.228,660.08,65.6,67
12036,3.00E-04,5650.42,32.55,6.76,851.65,8.05,8.856,14.36,162.8,0.016,0,0,776,8.56,88.0456,13.922,160.52,52.3,37.79
12037,0.0016,2960.96,44.59,8.82,582.86,2.56,3.737,17.4,47.95,0.01,0.00061,0,334,8.55,43.2688,9.674,124.8,30.1,14.76
12041,3.00E-04,5033.42,80.25,27.4,914.81,5.55,8.045,34,63.91,2.10E-02,0,0,777,8.44,190.1125,17.777,194.18,68.2,37.41
12060,0.0046,1710.55,21.57,0.83,189.91,1.02,6.484,3.421,7.678,5.00E-03,0.00256,0.27012,664,8.18,242.1613,60.726,6.01,317,17.52
12061,3.00E-04,3562.35,65.01,17.89,750.06,5.51,11.45,17.33,72.33,2.50E-02,0.00392,1.82226,5100,8.26,1572.669,25.703,175.89,1209.4,4527.74
12062,3.00E-04,2951.16,40.98,1.95,293.01,0.96,6.978,6.739,8.701,1.70E-02,0.00262,0.78723,1054,8.52,39.6456,58.511,5.32,30.6,4.56
12063,3.00E-04,3968.76,112.7,57.94,1311.42,2.59,15.27,35.43,126.6,0.01,0,0.21207,643,8.33,21.895,23.677,395.46,7.8,3.64
12064,0.0044,1508.85,22.33,0.81,165.63,1.06,5.106,2.209,5.505,0.012,0.0039,0.6818,937,8.7,97.4081,62.594,4.28,16.2,3.75
12065,0.0027,3666.02,42.68,4.53,389.08,1.31,8.332,9.028,26.08,1.30E-02,0.00115,0.38364,654,8.47,10.3575,57.469,14.45,3.3,3.87
12066,3.00E-04,5123.3,83.83,24.49,711.81,3.84,18.43,22.69,36.76,0.016,0,0.9177,1500,8.42,380.1531,46.068,88.24,72.9,37.22
12067,0.008,4039.01,47.44,110.15,798.54,9.05,14.93,11.94,89.79,1.70E-02,0,0,2700,7.63,4864.513,56.788,15.21,127,30.4
12068,3.00E-04,4387.08,61.7,4.85,484.84,1.34,12.56,15.12,10.54,2.90E-02,0,3.05146,3525,8.44,227.8413,63.614,17.71,129.8,24.66
12069,3.00E-04,3975.65,50.46,4.24,440.87,5.22,16.85,9.775,25.53,6.00E-03,0,0,975,8.6,170.181,52.906,35.39,86.2,59.21
12070,3.00E-04,4796.19,65.31,4.73,487.83,1.76,10.81,12.96,19.12,0.107,0.00703,0.75102,1213,8.27,62.5588,56.941,13.13,19.2,8.48
12071,3.00E-04,5064.99,73.59,47.66,817.93,4.29,21.3,23.63,69.19,0.012,0,2.16911,3388,8.47,366.9819,44.408,105.14,84.7,56.39
12072,0.0082,3032.43,43.85,2.87,308.6,4.06,7.966,5.46,11.37,2.80E-02,0.01006,0.48286,1244,8.83,175.7331,53.45,6.53,9.6,8.48
12073,0.0059,2186.06,29.78,1.47,236,1.35,7.238,4.199,8.352,9.00E-03,0.00439,0.46154,833,8.56,119.7488,59.043,7.37,42.1,7.9
12074,3.00E-04,4603.49,68.73,2.91,445.98,3.67,9.929,8.345,7.907,0.031,0,0.22687,784,8.23,188.9944,62.883,4.3,25.8,14.17
12075,0.1153,6485.88,81.52,86.94,1113.5,85.38,133.2,20.32,31.39,3.237,0,4.82893,25825,8.08,4890.588,30.919,39.76,153.6,65.74
12076,0.0123,730.33,7.702,1.46,103.44,1.38,2.008,1.016,10.75,8.00E-03,0,0.00508,219,8.88,27.4881,61.403,7.37,5.9,6.57
12077,3.00E-04,2809.96,41.97,1.18,354.39,4.32,1.828,13.58,12.97,0.016,0,0.01901,479,8.39,91.4638,15.657,41.76,75.6,53.02
12078,0.0065,1146.42,11.56,0.4,120.47,3.73,2.021,5.255,4.112,1.30E-02,0,0.00292,289,7.93,19.4063,23.492,2.08,1.9,0.5
12082,0.0098,1499.47,26.74,0.51,154.08,3.3,0.584,1.676,1.364,1.10E-02,0,0.04339,252,7.98,44.865,9.358,1.82,12.5,9.43
12083,3.00E-04,2466.77,28.55,4.06,271.07,4.43,3.784,6.083,18.25,0.01,0.00228,0.04929,636,8.34,200.9794,10.092,16.36,160.7,270.24
12087,3.00E-04,1539.15,356.5,531.8,3503.35,2.77,6.198,74.86,316.5,0.014,0.16873,0.01927,554,8.14,29.7294,11.42,1063.94,23,14.78
12090,0.0202,2450.44,72,36.25,730.71,4.05,4.379,18.79,54.3,8.00E-03,0,0.33592,627,8.32,102.6488,11.911,185.21,48.8,63.4
12103,0.0013,1096.83,15.91,0.37,116.01,1.35,2.912,1.95,2.764,1.30E-02,0,0.09749,164,8.03,115.7775,51.393,1.21,1.8,1.57
12104,0.0023,2695.47,41.44,2.56,373.02,1.68,1.311,9.908,19.53,0.016,0,0,142,8.2,9.5119,11.756,50.97,4.2,9.15
12105,3.00E-04,3890.98,87.17,11.55,658.78,3.27,1.921,16.73,33.21,1.10E-02,0,0.01434,229,8.32,16.3563,13.536,129.71,2.5,4.2
12106,0.0027,2721.41,74.24,13.32,531.82,1.65,2.535,10.25,20.95,0.014,0,0.12572,467,8.17,153.1075,7.588,111.62,192.8,31.8
12111,0.0039,7944.69,43.59,44.9,1361.44,5.54,7.573,45.6,158.8,0.02,0,0,474,8.42,25.211,7.214,261.55,6.8,5.14
12112,0.0025,4623.94,43.72,18.18,517.24,3.41,4.625,20.37,23.39,9.00E-03,0,0,353,8.09,16.5338,10.239,16.37,3.1,5.97
12113,3.00E-04,4507.69,46.87,18.27,521.24,2.8,4.7,19.41,25.48,0.023,0,0,312,8.23,13.4606,7.15,19.34,1.2,3.78
12114,0.0011,3340.24,66.28,4.08,367.01,1.86,0.966,7.688,5.739,9.00E-03,0,0,146,8.49,5.4338,17.408,20,17,7.18
12115,3.00E-04,4304.13,125.2,39.78,977.74,0.75,1.711,40.42,29.62,0.012,0,0.03383,92,8.3,0.8956,11.874,255.06,0,2.57
12116,0.0039,2323.25,28.48,8.19,319.2,2.42,4.828,5.573,24.89,0.01,0,0,353,8.6,63.6113,25.742,33.42,5.2,6.46
12117,3.00E-04,5369.01,89.16,134.79,1566.6,6.05,6.632,42.27,139.8,0.012,0,0,574,8.3,24.4938,10.894,343.37,18,14.79
12130,0.002,3148.7,44.03,35,518.39,6.56,3.264,19.36,23.63,8.00E-02,0.02271,0.88698,1729,8.42,127.75,12.646,43.27,14.9,11.62
12131,4.00E-04,2976.92,40.77,33.36,472.05,5.91,2.982,17.81,22.05,8.80E-02,0.01348,0.96283,1836,8.23,86.18,10.499,34.64,9.9,9.77
12132,0.0031,3503,48.62,17.77,445,4.98,2.546,22.4,11.07,8.80E-02,0.00293,0.77253,1536,8.37,162.2413,10.643,28.31,21.8,18.71
12133,0.0078,2075.65,26.72,15.1,274.63,7.38,2.519,13.03,10.6,0.016,0,0.06796,791,8.83,90.2081,7.852,14.11,9.6,20.4
12134,0.003,3097.92,40.86,22.54,440.12,6.18,2.735,19.82,14.56,8.70E-02,0.00549,0.56731,1272,8.25,220.6813,14.498,37.94,4.1,7.16
12138,0.0019,3453.07,47.9,17.89,435.35,4.83,2.465,21.73,11.15,0.024,0.00284,0.71322,1494,8.36,155.8563,10.878,28.49,17.6,15.88
12141,0.0033,857.39,11.76,5.77,118.83,8.15,1.131,3.904,5.671,0.012,0.01012,0.07832,826,7.93,52.3475,5.537,4.4,7,9.79
12146,4.00E-04,4971.45,60.13,89.48,820.76,6.29,3.003,37.93,40.91,7.20E-02,0,0.92562,1916,8.36,152.0688,9.658,29.58,64.2,29.91
12157,0.0244,578.65,8.09,6.5,92.4,9.87,2.22,3.26,3.994,0.016,0,0.01509,1669,8.13,104.9288,6.161,3.65,16.4,22.95
12162,0.0111,937.55,13.2,11.09,144.74,10.96,2.305,5.355,6.215,1.70E-02,0.00401,0.13965,1011,7.66,121.3381,9.985,4.76,9.5,14.11
12163,0.0032,1240.97,15.62,11.62,175.11,5.28,1.925,6.842,8.119,1.30E-02,0,0.03241,448,8.05,57.7669,10.253,4.94,11.6,10.47
12164,0.0011,3240.16,48.07,20.94,447.96,5.55,2.78,20.47,12.87,6.90E-02,0.00351,0.91676,1587,8.32,199.025,14.834,34.6,6.8,5.69
12165,0.0042,756.95,9.867,4.65,99.68,9.52,1.267,3.309,5.464,6.80E-02,0.00542,0.05028,919,7.62,71.4275,6.269,3.53,6.6,9.71
12166,0.0015,4911.71,56.16,7.23,499.56,1.06,1.557,31.95,3.75,0.023,0,1.09105,1273,8.35,79.5081,10.164,11.6,25.4,8.26
12168,3.00E-04,4572.78,45.3,44.16,623.5,6.18,3.965,40.66,23.14,0.336,0,0.51912,2719,8.23,442.23,4.474,26.93,62.6,50.36
12169,3.00E-04,2358.08,27.44,5.3,245.16,4.37,0.671,14.27,3.443,0.014,0.00086,0.03056,390,8.57,12.2575,7.138,5.87,1.7,3.14
12171,0.0123,764.21,10.81,2.5,95.4,10.38,0.592,3.77,2.24,1.70E-02,0,0.03529,574,7.24,26.5763,7.575,2.89,2.4,2.07
12172,3.00E-04,5923.41,76.71,21.15,699.91,1.46,2.221,43.48,7.849,3.40E-02,0,7.69374,8594,8.34,247.1619,10.774,28.4,143.6,48.88
12176,6.00E-04,5299.25,65,54.56,701.89,9.11,4.167,38.45,28.08,0.027,0,0.40202,1975,8.61,307.0494,5.994,28.12,35.4,22.75
12177,0.0198,1280.34,18.07,13.91,203.71,8.53,2.574,8.268,11.84,1.70E-02,0,0,813,8.98,86.3219,5.254,14.23,15.6,16.44
12179,7.00E-04,2233.4,28.34,11.08,253.36,3.32,1.511,12.59,5.539,7.00E-03,0,0.05468,1051,9.11,212.7588,17.299,6.84,16.8,22.41
12180,0.008,1664.93,22.81,2.77,177.42,5.61,1.013,6.737,3.648,0.012,0,0.00913,329,8.07,36.3788,10.733,3.26,6.8,18.68
12181,3.00E-04,2993.97,36.03,10.34,329.21,7.01,1.695,17.79,6.031,0.024,0.00129,0.07275,572,8.46,31.6294,8.753,9.27,1.6,1.87
12183,0.0031,1839.7,30.24,16.88,324.3,7.31,7.029,10.35,15.79,8.80E-02,0.01336,0.73675,1520,8.25,156.96,8.602,41.33,9.8,21.4
12184,6.00E-04,4612.09,116.9,21.05,1207.39,3.67,6.36,73.88,67.91,1.80E-02,0,0.01493,594,8.22,112.418,4.23,425.53,43.7,29.44
12185,0.0025,3547.32,71.65,25,570.49,5.73,3.766,22.23,13.58,0.027,0.0097,1.19065,1941,8.37,122.7638,11.323,75.76,26.6,21.26
12186,3.00E-04,1214.86,18.8,1.43,141.6,0.96,1.807,3.43,2.963,1.30E-02,0,0.23211,313,7.5,35.9575,11.348,7.63,0,1.48
12190,0.0013,4229.86,91.77,620.15,2668.37,3.22,8.541,20.72,340.2,,0,1.89711,2550,8.53,284.53,17.342,139.84,52.4,31.38
12192,3.00E-04,6769.66,178.6,28.45,1072.22,5.3,13.56,20.72,45.95,4.00E-02,0,1.82607,2588,8.32,254.8875,31.774,201.5,47.3,35.02
12193,3.00E-04,5505.28,101,96.92,1073.13,3.8,13.51,19.3,81.56,8.00E-03,0,0.42652,1346,8.51,308.225,24.733,140.38,42.2,10.56
12194,0.0026,1010.6,18.28,2.23,153.3,2.12,1.562,4.51,3.48,8.00E-03,0,0.02555,255,7.69,18.745,5.465,20.7,7.5,5.09
12195,3.00E-04,4498.31,74.25,14.38,565.51,2.34,3.5,19.36,20.04,1.10E-02,0,0.04402,700,8.54,92.2663,12.465,53.17,23.9,16.32
12196,0.0014,1538.43,19.97,5.61,208.88,1.84,3.306,4.716,11.15,0.014,0.00699,1.03809,1638,7.69,271.6356,27.726,11.75,91.4,11.48
12197,0.003,4154.35,74.7,184.12,1087.44,3.64,4.513,12.52,132.6,1.10E-02,0,1.10036,2037,8.44,171.7125,23.866,53.26,38.2,17.25
12199,3.00E-04,4005.4,67.53,12.91,469.32,1.91,7.287,9.417,8.397,2.90E-02,0,0.58938,939,8.16,249.031,45.601,18.76,22.2,10.03
12200,0.0016,3836.26,60.53,9.81,453.2,3.88,3.402,13.52,16.58,0.3014,0,0,586,8.32,78.4888,9.107,31.73,26.2,23.31
12205,3.00E-04,3694.15,90.13,2.81,649.32,3.43,1.482,24.38,16.27,0.01,0,0,217,8.47,19.175,10.438,157.19,4.9,8.74
12206,7.00E-04,4087.48,55.35,3.21,394.33,4.19,5.831,11.6,10.04,1.50E-02,0,0.00557,561,8.23,91.3575,45.99,5.24,12.7,5.65
12207,3.00E-04,4501.48,130.9,147.17,2083.88,5.28,9.263,55.41,269.7,3.00E-03,0,0.12703,863,8.34,322.3538,20.092,724.56,570.8,643.2
12208,3.00E-04,6557.68,58.44,11.98,812.11,2.1,2.364,46.54,39.31,3.00E-03,0,0,154,8.45,9.9338,22.228,109.31,7.7,16.87
12210,0.0019,4798.76,44.19,172.82,1905.17,6.86,6.402,36.26,329.6,0.02,0,0.07334,789,8.58,107.7675,13.419,472,20.4,28.67
12212,3.00E-04,7858.22,148.7,24.82,4340.29,10.38,20.61,132.2,737.2,6.00E-03,0,0,671,8.31,65.4525,6.959,2026.27,123.6,85.7
12214,3.00E-04,1456.68,172.7,83.81,3158,6.51,15.47,68.91,405.9,1.50E-02,0,0.15683,537,8.3,68.6763,12.175,1344.4,57.8,45.2
12215,3.00E-04,2244.81,47.4,1.38,258.2,0.76,2.736,1.355,1.643,9.00E-03,0,0.24636,347,8.06,57.6825,35.792,17.53,7.9,4.48
12216,0.9349,7942.81,213.6,6.73,3235,14.78,15.81,165,390,2.10E-02,0,0.00062,1143,8.41,92.7463,5.24,1558.12,61.2,50.6
12217,3.00E-04,3807.73,110.1,2.75,1033.18,4.39,4.65,41.12,55.53,7.00E-03,0,0.13993,490,8.22,0.7881,3.51,377.33,1.2,1.32
12218,3.00E-04,3802.39,143.2,369.51,2983.28,2.46,16.78,69.05,373.8,1.70E-02,0,0.00113,237,8.31,17.7681,5.964,856.92,6.6,6.37
12219,3.00E-04,2571.72,267,6.9,1655,4.37,7.949,65.06,35.8,9.00E-03,0,0,343,8.39,13.3113,0.934,869.03,1.2,2.2
12224,3.00E-04,3815.56,150,3.99,1474.55,6.47,6.423,78.5,92.87,6.00E-03,0,0,469,8.44,1.4156,1.586,668.33,0.8,0.84
12228,3.00E-04,4906.61,102.6,25.03,945.02,3.98,5.26,35.32,55,1.70E-02,0,0.14376,552,8.2,11.6681,19.718,220.83,0,3.1
12229,3.00E-04,3382.31,249,677.41,4467,5.83,10.59,96.64,638.9,8.00E-03,0,0,815,8.32,121.4675,8.688,1231.79,82.7,66.5
12236,0.0151,895.82,13.58,0.9,107.85,2.17,0.812,2.492,3.566,0.012,0,0.05658,218,7.85,18.175,16.614,4.77,3.2,5.82
12237,0.0016,2364.74,81.63,7.01,708.83,3.7,5.197,20.49,34.2,1.10E-02,0,0,406,8.55,57.0988,14.958,234.2,5.6,3.93
12238,6.00E-04,4795.49,234.7,23.57,2615,5.47,15.25,90.46,253.4,7.00E-03,0,0.07346,333,8.37,21.5263,13.72,1259.5,13.2,13.2
12239,3.00E-04,3266.05,441.4,31.35,2906.35,2.18,6.86,109.5,157.3,2.20E-02,0,0.01294,303,8.06,13.6969,5.833,1637.85,6.8,7.48
12241,0.0021,2844.84,91.91,71.47,941.64,2.72,3.632,25.28,77.91,0.01,0.003,0.4191,829,8.46,72.725,10.667,242.1,46.8,14.64
12242,4.00E-04,2887.9,93.95,73.3,983.78,2.81,3.783,25.68,80.43,6.00E-03,0.00182,0.43185,863,8.47,111.355,11.396,240.02,81.8,34.4
12243,0.0041,7422.07,64.32,161.23,1149,8,11.2,27.25,129.8,0.039,0.80177,0.29993,3806,8.01,3603.369,11.523,19.6,330.6,164
12244,0.0013,5527.27,64.13,127.03,975.62,5.42,9.437,25.59,88.43,0.983,0,0.2462,2362,8.09,1194.381,15.115,25.69,3,4.14
12245,3.00E-04,3733.61,44.22,9.92,380.5,3.59,0.999,15.34,13.14,0.01,0,0,155,8.39,37.6013,40.392,8.14,0,1.95
12247,0.003,2126.94,28.96,2.19,256.65,1.22,1.986,11.56,4.074,4.00E-03,0,0,78,8.39,42.2075,26.459,21.49,7.6,5.83
12248,6.00E-04,4207.78,45.11,13.01,479.78,2.77,4.208,19.08,24.32,1.50E-02,0,0,522,8.58,72.9625,30.467,28.2,12.9,22.18
12249,0.0205,144.66,2.367,0.36,21.71,1.79,0.233,0.491,1.085,6.00E-03,0,0.0025,133,7.28,5.6225,3.653,1.82,0,3.97
12250,3.00E-04,4055.37,54.79,28.55,522.1,0.74,4.118,20.62,22.56,0.012,0,0.91833,1086,8.66,33.4175,35.874,36.21,15.2,9.53
12251,0.0015,3436.53,56.51,16.04,461.77,2.07,1.662,20.83,12.04,9.00E-03,0,0.15239,364,8.46,15.4275,3.935,50.66,15.1,5.15
12252,0.0108,2077.86,38.96,35.83,347.1,1.28,1.431,5.972,19.13,0.02,0,0.48879,756,8.35,54.4213,20.317,12.18,18.6,11.3
12253,3.00E-04,2694.07,31.89,3.53,280.19,3.34,1.321,8.575,14.18,4.00E-03,0,0,175,8.3,144.8569,42.768,5.64,0.3,0.95
12254,0.008,1941.87,26.76,0.93,215.52,0.96,0.474,9.246,1.561,5.00E-03,0.00045,0.04874,125,8.35,6.2975,6.523,12.28,1.9,3.53
12255,3.00E-04,5376.72,50.27,4.47,515.72,1.29,0.807,35.24,3.686,0.016,0,0.02859,183,8.09,0.5444,8.813,7.97,0.8,4.26
12256,3.00E-04,4952.8,128,37.27,1569.71,4.31,7.89,59.72,143.6,1.70E-02,0,0.4504,1478,8.38,631.7075,4.465,574.91,398.1,356.7
12257,3.00E-04,4041.79,52.49,4.86,414.5,0.92,0.714,18.08,4.598,7.00E-03,0.00079,0.17662,250,8.53,16.7363,6.741,7.23,1.8,2.5
12258,0.0233,219.26,3.764,0.43,34.11,1.53,0.289,0.576,1.389,6.00E-03,0,0.04702,140,7.51,1.7663,5.387,3.6,2.1,3.91
12259,3.00E-04,3259.77,136.5,22.64,958.11,1.97,8.5,30.52,36.36,0.027,0,0.00268,339,8.31,250.0113,30.226,315.89,227.9,170.07
12260,0.0049,4347.89,49.65,12.42,495.24,3.46,4.475,20.77,18.36,1.10E-02,0,0,359,8.28,72.8663,30.624,26.06,8.2,9.26
12262,3.00E-04,5352.53,302,151.82,2880,3.17,12.9,109.8,245.2,1.50E-02,0,1.71472,2085,8.05,15.2163,20.459,1284.08,6,2.83
12263,3.00E-04,3706.21,66.97,34.28,542.7,1.56,2.672,16.32,20.58,5.00E-03,0,0,218,8.49,78.9863,20.995,43.47,26.4,14.7
12264,0.0014,2884.58,81.04,70.46,885.36,0.93,4.003,30.51,40.19,4.00E-03,0.00124,0.00277,120,8.36,14.6975,18.088,173.85,2.1,2.99
12266,3.00E-04,3253.55,52.08,3.88,341.4,3.37,0.648,7.137,3.175,0.01,0,0.35747,772,8.44,18.1638,3.907,6.02,9.3,5.13
12267,0.0026,5785.04,49.39,1.91,551.78,1.77,1.243,31.14,28.01,1.10E-02,0,0.01493,143,8.5,39.4375,28.917,19.1,27.3,18
12274,0.0011,2537.81,44.33,1.49,350.17,3.21,1.61,12.35,13.69,1.30E-02,0.00065,0.05205,503,8.22,102.9038,14.479,51.52,77.6,49.81
12275,3.00E-04,2944.82,48.41,16.18,640.92,6.17,7.258,30.09,28.75,8.30E-02,0.00707,0.36673,1431,8.18,234.0519,13.789,153.93,65.4,55.82
12276,0.0227,1543.84,36.48,87.61,618.57,4.45,7.863,8.228,73.01,0.055,0.02992,4.04674,5119,8.06,192.155,3.521,53.58,71,38.36
12290,0.0238,213.31,3.42,3.76,54.95,1.66,1.862,1.21,3.868,1.70E-02,0,0.00462,256,7.57,40.2331,4.242,7.2,9.6,5.33
12291,0.0089,3609.11,46.8,28.22,475.88,1.75,4.957,18.56,21.54,0.031,0.00242,1.62251,2018,8.46,599.7513,4.399,15.49,2.6,4.6
12292,0.0223,2042.61,40.84,12.99,365.03,3.28,3.759,7.232,24.19,0.023,0.00204,0.08858,351,8.13,24.4525,3.636,52.7,3.2,4.76
12293,0.0246,2518.65,46.05,21,570.63,4.16,8.025,7.645,50.86,1.70E-02,0,0.01786,236,8.24,17.7413,2.366,118.43,0.5,3.58
12294,0.0048,608.51,8.989,12.05,108.81,1.72,0.743,1.893,8.575,7.00E-03,0,0.06114,272,7.71,82.4125,15.676,1.49,18.3,12.55
12295,0.0038,662.41,9.218,11.97,111.4,1.31,0.702,1.931,7.774,5.00E-03,0,0.07009,298,7.73,90.3175,16.148,1.24,15.3,8.04
12296,0.0012,137.81,2.192,1.52,25.18,0.67,0.888,1.203,0.889,7.00E-03,0,0.18117,234,6.89,2.3581,5.916,3.61,0.4,1.24
12297,3.00E-04,2582.47,38.53,21.39,412.38,1.53,2.619,17.66,16.1,0.027,0,0.03865,176,7.83,14.717,8.986,42.45,3.6,5.54
12300,0.012,273.33,2.09,1.98,40.69,3.36,1.315,1.005,2.94,1.80E-02,0,0.00539,426,7.26,32.9588,10.816,1.26,14.9,12.44
12302,0.0027,2815.32,39.67,6.48,303.01,1.4,1.738,14.35,3.519,0.02,0.00051,0.15041,369,8.44,8.615,7.476,7.81,3.3,2.8
12305,0.0012,2790.91,39.47,9.53,298.88,1.09,1.499,14.15,4.544,1.70E-02,0.00041,0.16007,434,8.6,45.9838,6.32,5.3,2.5,3.37
12306,0.0019,1667.51,33.02,2.54,213.29,1.12,1.336,4.939,1.881,0.014,0.00075,0.04646,231,8.23,16.0888,7.514,12.85,6.6,4.27
12307,0.0015,2515.75,31.5,6.18,275.73,1.37,1.746,12.34,3.379,2.50E-02,0.00058,0.15406,325,8.1,21.891,5.852,5.77,0,3.67
12308,0.0076,1114.28,13.3,4.59,140.52,1.37,1.684,5.483,4.577,1.10E-02,0,0.47554,672,7.94,14.1219,31.237,4.13,6.2,5.31
12320,0.0071,3270.22,41.23,15.69,399.88,1.75,2.799,17.18,12.7,0.027,0.00095,1.33342,1665,8.64,105.3113,5.835,16.04,3.5,4.84
12324,0.0045,444.64,3.507,3.54,63.36,3.86,1.566,2.173,4.38,3.20E-02,0,0.08433,424,7.4,31.1781,15.754,1.46,3,6.54
12331,3.00E-04,4350.76,93.27,64.67,629.49,1.65,2.636,3.487,25.52,1.50E-02,0,0,139,7.91,84.5506,36.788,8.17,13.9,10.18
12332,4.00E-04,2626.94,102.7,54.75,842.21,3.1,6.37,10.38,51.94,1.70E-02,0.00103,0.09728,437,8.14,30.905,5.954,195.75,21.2,17.88
12333,0.0048,1034.02,15.76,11.52,186.57,17.49,9.91,3.44,9.934,0.162,0.00052,0.00388,1356,7.39,833.95,19.2,13.94,15.5,16.9
12334,0.0022,2867.88,43.86,8,329.74,5.54,4.3,10.12,8.154,0.014,0,0,491,8.16,27.2988,13.046,17.38,3.7,7.06
12338,0.0082,1523.66,23.04,3.08,178.64,14.54,7.628,4.206,2.538,0.128,0.00246,0.01367,1291,7.72,385.9925,20.312,4.71,10.2,24.81
12339,3.00E-04,5119.87,45.62,34.08,693.15,2.13,4.034,31.98,50.59,0.014,0,0,209,8.3,10.8875,25.68,51.83,11.9,3.36
12340,0.0665,138.37,4.689,6.8,59.66,12.54,1.431,1.012,4.298,0.024,0,0.0547,585,6.95,34.3244,11.531,6.56,12.7,19.66
12341,0.0113,1265.08,21.93,23.52,250.29,5.2,5.707,2.481,22.39,0.237,0.07474,1.65283,2719,7.65,1788.95,12.643,11.39,21.2,20.19
12342,3.00E-04,5443.95,102.6,7.95,588.97,2.09,2.28,7.36,11.19,2.60E-02,0,0,316,8.05,40.1363,18.551,11.24,8,6.79
12345,0.0111,1964.97,34.8,12.41,238,2.16,1.28,3.206,7.65,2.90E-02,0,0.1499,276,8.28,8.69,5.102,7.12,2.7,2.9
12346,0.0135,822.42,14.47,5.96,115.9,4.64,1.067,1.823,4.317,3.00E-02,0,0.14712,549,7.78,36.6013,4.675,4.52,9.4,6.66
12347,0.0185,744.79,13.81,11.37,133.3,3.38,1.092,1.635,6.978,1.30E-02,0,0.13945,361,7.84,5.7238,6.172,5.48,0.6,3.11
12348,0.0155,721.86,13.29,11.5,128.56,3.46,1.27,1.605,7.083,2.20E-02,0,0.12555,358,7.64,8.1975,5.693,5.52,0.5,3.59
12349,0.0099,372.81,6.62,3.57,64.33,1.38,0.465,1.283,2.583,5.00E-03,0,0.05787,179,7.47,0.8431,3.798,4.74,0,2.6
12351,0.0097,1376.95,26.01,28.45,264.09,1.67,1.329,3.579,16.58,3.70E-02,0.0082,0.46947,783,8.03,5.7275,3.404,12.42,1.4,4.01
12352,0.012,1164.97,21.43,19.91,204.64,2.52,1.27,2.808,11.41,3.40E-02,0.01015,0.35994,549,8.05,5.2763,4.657,9,0.8,3.32
12353,0.0047,1235.64,21.76,8.16,165.29,1.22,1.026,2.262,5.57,0.012,0,0.10214,220,8.05,1.0963,4.176,6.47,0,2.77
12354,0.0017,1278.12,24.44,23.29,225.68,1.67,1.291,3.231,14.5,1.50E-02,0,0.26872,487,7.86,2.3006,3.397,8.55,1.1,3.22
12355,0.0047,1331.2,23.78,9.73,183.35,1.17,1.2,2.365,6.115,6.00E-03,0,0.10226,315,8.07,6.77,4.357,6.99,0,2.8
12356,0.011,1450.04,27.27,17.45,219.75,2.73,1.723,2.981,11.08,1.30E-02,0,0.23724,564,7.97,25.3994,5.193,7.16,12.2,5.68
12357,0.0281,251.48,4.217,9.32,68.08,2.78,1.047,1.319,5.654,5.00E-03,0,0.01558,150,7.16,1.8738,6.357,4.17,0,2.67
12358,0.0247,504.1,11.08,35.74,189.74,3.1,1.739,1.85,18.95,2.80E-02,0,0.12592,318,7.73,8.6694,5.453,4.7,0.5,2.61
12359,3.00E-04,2032.12,19.59,3.65,209.3,0.59,0.654,14.18,2.83,5.00E-03,0,0.00474,26,8.3,5.1913,16.701,3.41,0,0.436
12360,0.0194,167.8,9.592,0.35,110.11,0.26,1.605,2.899,3.522,6.00E-03,0,0.00721,43,7.33,34.2681,29.756,34.26,23.2,9.18
12361,3.00E-04,867.11,14.05,3.33,113.52,0.38,0.503,2.141,4.393,0,0,0.00116,24,8.02,2.8388,13.436,5.64,0,2.46
12362,3.00E-04,1898.13,22.1,5.82,235.94,1.78,2.599,8.484,12.28,1.80E-02,0.00948,0.90447,1186,8.48,79.2838,19.282,12.51,4.8,2.84
12365,0.0242,396.66,3.511,5.74,62.75,4.07,1.444,1.248,6.345,2.90E-02,0,0.06789,397,7.16,56.31,24.137,0.98,3.6,9.05
12368,0.0211,498.24,6.037,6.42,115.42,3.64,1.707,1.599,11.63,5.60E-02,0,0.04332,489,7.55,43.9669,3.779,15.83,7.6,8.48
