UID,Al,ANC,Ca,Cl,cond,DOC,K,Mg,sodium,NH4,NO2,NO3,total.N,pH.lab,total.P,SIO2,SO4,TSS,turb
10898,0.0026,1301.18,9.666,5.99,156.9,2.49,3.853,4.266,13.52,5.00E-03,0,0.00124,251,8.26,103.0988,45.901,7.22,14.2,8.06
10899,0.0101,313.43,4.613,0.39,38.83,0.8,0.301,0.759,1.147,5.00E-03,0,0.06962,185,7.46,36.4075,7.033,1.69,4.2,3.34
10900,3.00E-04,6004.6,114.2,528.04,3291,13.52,27.01,54.85,527.3,3.00E-02,0,0,1120,8.41,88.44,27.007,647.8,7.6,6.97
10901,0.0025,4584.44,97.22,103.28,1465,0.92,15.32,45.68,153.5,4.00E-03,0,0.2079,280,8.39,14.5688,33.046,395.52,50.2,29.6
10918,3.00E-04,4949.23,51.06,8.32,554.8,0.67,8.004,23.43,33,0.001,0,0,168,8.51,34.2513,31.366,49.12,31.2,14.8
10922,3.00E-04,4375.31,50.02,29.83,594.54,2.91,8.665,13.14,61.29,5.00E-03,0,0.00411,434,8.48,133.4188,31.231,51.06,111.8,65.79
10926,0.0163,3977.36,23.96,30.1,574.5,13.83,11.4,14.42,82.44,4.90E-02,0,0.05671,1232,9.16,54.8063,7.789,50.3,9.9,6.25
10927,0.0066,835.45,11.87,0.73,98.35,1.7,1.383,1.469,3.772,4.00E-03,0,0.0053,196,7.86,35.8325,15.773,3.01,7.8,4.57
10928,0.0015,3834.79,32.79,17.63,458.7,12.01,3.431,12.81,51.79,1.70E-02,0,0,786,8.46,156.95,52.448,22.63,1.7,1.33
10951,0.3555,468.17,4.811,0.61,50.25,1.17,1.293,0.402,5.301,3.00E-03,0,0.00036,617,7.71,123.6519,39.508,1.66,37.5,7.71
10954,0.0025,2374.84,30.02,9.06,327.4,5.4,4.808,9.904,26.25,0.016,0.00053,0.00553,519,8.09,197.6075,22.633,33.47,6.3,5.8
10956,3.00E-04,5344.23,43.24,107.81,1036.56,5.63,18.5,21.94,144.4,1.70E-02,0,0.01902,584,8.71,100.4963,32.532,99.05,21,29.2
10958,0.0041,2434.68,18.31,7.98,283.14,7.96,4.971,8.099,30.18,1.50E-02,0,0,1056,8.8,469.99,28.582,11.49,27.4,34.27
10962,0.001,3757.23,40.87,22.45,517.71,2.26,8.522,13.62,49.31,7.00E-03,0,0,243,8.63,27.7113,20.155,43.96,13.6,6.12
10963,0.0061,1235.78,15.54,2.19,140.4,2.8,2.432,3.033,6.112,6.00E-03,0,0,233,8.07,47.7663,37.841,2.42,6,5.2
10964,0.0041,3275.3,40.21,11.36,347.9,1.15,1.588,8.018,21.15,1.30E-02,0,0.01778,639,8.6,153.9725,18.545,12.47,138.1,48.4
10965,0.0025,2589.93,33.98,12.25,399.6,5.53,5.197,9.116,32.85,1.70E-02,0,0,494,8.39,154.7088,23.405,49.93,2.6,3.14
10969,3.00E-04,1189.36,10.54,0.91,117.94,1.3,1.374,5.412,4.738,0.012,0,0.00389,154,8.13,11.7113,16.632,0.79,3.4,3.66
10971,3.00E-04,4157.9,49.06,15.52,540.39,4.25,10.56,15.35,41.84,1.10E-02,0,0.00361,396,8.13,132.5113,47.788,51.5,2.2,1.62
10973,3.00E-04,3518.16,38.99,22,483.89,2.47,8.043,11.98,48.08,6.00E-03,0,0,311,8.62,68.1388,20.575,43.27,67.4,38.74
10978,0.0266,3730.26,41.65,8.74,428,7.23,7.256,14.99,25.5,1.50E-02,0,0,630,8.54,114.7138,27.197,32.17,4.4,6.28
10979,0.0228,583.42,5.088,2.79,79.69,2.13,2.376,1.369,7.664,5.00E-03,0,0.00093,213,7.67,62.84,30.48,6.24,7.7,5.09
10989,3.00E-04,3702.8,40.69,23.9,506.75,2.56,7.878,11.6,50.32,8.00E-03,0,0,323,8.6,81.22,22.473,43.05,54.9,40.61
10990,0.0072,3401.95,27.93,25.1,453.7,0.93,2.992,19.98,39.88,8.00E-03,0,0,166,8.97,24.3888,22.854,40.1,9.2,6.39
10991,0.0091,426.3,3.731,0.7,47.32,1.01,0.746,0.531,5.42,0.002,0,0.00226,107,7.59,25.7963,26.504,1.35,2.6,1.93
10992,3.00E-04,4254.91,47.25,43.09,655.78,2.41,9.657,14.37,71.5,4.00E-03,0,0,328,8.57,81.5581,33.817,65.3,96.2,35.07
10993,0.0012,2490.56,30.97,8.32,316.49,1.68,8.683,6.561,18.21,,0,0,284,8.43,50.5525,53.064,19.41,20.5,10.8
10994,8.00E-04,1518.02,14.04,4.57,174.73,3.13,1.814,7.167,9.568,0.014,0,0.01299,488,8.31,82.6238,26.585,5.81,1.8,5.29
10995,0.0046,1776.62,21.13,4.46,200.09,1.79,1.052,8.913,6.519,8.00E-03,0,0.00242,159,8.3,40.875,10.444,7.95,3.9,4.65
10996,0.0116,910.28,9.712,2.28,105.97,1.11,0.897,4.193,4.108,0.019,0,0.02642,136,8.02,24.3725,14.396,3.12,0,3.4
10997,0.002,1585.76,13.8,5.38,184.7,3.49,1.987,7.721,11.07,1.70E-02,0,0.05781,594,8.37,102.2213,29.114,6.01,1.4,3.72
10998,3.00E-04,1489.02,15.25,4.09,169.99,1.9,1.263,7.358,7.324,9.00E-03,0,0.00143,269,8.32,41.8088,20.39,5.79,2.2,3.87
10999,0.0139,1560.04,17.34,19.69,261.37,2.18,3.464,7.604,17.76,2.50E-02,0.01489,1.92284,2343,8.12,173.2,20.498,10.1,9.2,4.36
11000,3.00E-04,1986.54,35.76,5.31,255.05,0.62,1.245,7.998,5.97,3.00E-03,0,0.00078,69,8.31,3.5038,8.806,22.84,0.9,2.63
11001,0.0062,401.98,4.779,2.1,53.11,1.15,0.674,1.668,2.417,6.00E-03,0,0.00237,114,7.68,11.4575,10.378,1.94,0.4,3.26
11002,0.0095,1504.8,11.75,5.17,179.18,4.67,2.328,7.235,12.56,0.024,0.01076,0.44455,1183,8.44,166.5375,38.156,5.89,2,3.82
