UID,site.ID,site.lat,site.long,strahler.order,ecoregion,ecoregion.2,reach.length,bed.stability,pct.bedrock,pct.bigrock,pct.hardpan,pct.fine,pct.sand,pct.fine.gravel,pct.coarse.gravel,pct.riffle,pct.pool,mean.thalweg.depth,mean.width,sinuosity,LWD.reach,embeddedness,ALG.cover,AQM.cover,LWD.cover,NAT.cover,midchannel.cover
10000,FW08KS001,39.01490805,-98.01046463,2,SPL,5,163.9,1.709181117,0,19.04761905,0,41.9047619,41.9047619,80.95238095,86.66666667,24.66666667,75.33333333,17.19333333,2.2525,1.361993024,11.33129957,60.54545455,0,0,0.05,0.536363636,89.57219251
10001,FW08KS003,37.3952849,-98.92627961,3,SPL,5,,,0,0,0,0,95.23809524,100,100,0,100,18.82,4.985,2.000395,,97.81818182,0.027272727,0.027272727,0.009090909,0.329545455,54.54545455
10002,FW08KS005,38.19892655,-95.42768365,2,TPL,6,178.2,1.651449009,0,5.714285714,0,94.28571429,94.28571429,94.28571429,100,18,82,18.75,3.29,1.321487002,1.600448934,92.90909091,0,0.004545455,0.004545455,0.384090909,84.35828877
10003,FW08KS006,37.47701976,-98.36534065,3,SPL,5,227.7,0.843637643,0,0,0,0,100,100,100,0,100,38.41,6.47,3.296658477,71.77470356,100,0,0,0.097727273,0.897727273,93.18181818
10004,FW08KS012,37.78662431,-96.42997007,4,TPL,6,435.6,1.31974573,2.857142857,51.42857143,0,26.66666667,27.61904762,48.57142857,68.57142857,24,76,65.09,10.08,1.340770752,0.444214876,59.54545455,0.004545455,0.259090909,0,0.222727273,30.0802139
10006,FW08KS036,37.99322599,-99.32134205,7,SPL,5,148.5,1.01306648,0,0,0,100,100,100,100,0,100,9.39,4.515,1.128607277,94.64646465,100,0.361363636,0.581818182,0.004545455,0.893181818,17.37967914
10007,FW08KS039,39.01570904,-95.84061299,1,TPL,6,148.5,1.619900398,2.857142857,58.0952381,0,33.33333333,33.33333333,41.9047619,51.42857143,14,78,22.97,3.0375,1.238100251,44.8976431,53,0.004545455,0,0.022727273,0.704545455,86.63101604
10060,FW08LA011,32.97480157,-92.07643968,7,CPL,1,3505.700228,-0.373693528,,,,45.09803922,100,,100,0,100,544.1176471,91.81818182,1.406638035,2.379545455,,0.084090909,0.009090909,0.040909091,0.284090909,
10109,FW08DE002,38.54260151,-75.5231013,4,CPL,1,213.1546687,0.613788427,,,,13,97,,99,0,100,60,6.281818182,1.053731456,14.80727273,,0,0,0.072727273,0.525,
10828,FW08KS033,37.97450198,-101.7879598,7,SPL,5,633.6,0.871613246,0,0.952380952,0,29.52380952,99.04761905,99.04761905,100,0,100,69.36,18.585,1.118454221,1.426609848,100,0,0.379545455,0.061363636,0.918181818,0
